family,factor,run_id,condition,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,delta_logloss,delta_brier
F2a_Cov,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.615025728987993,0.1617248627551081,0.3376524462136259,0.03736662402116389
F2a_Cov,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5868376068376068,0.07540903540903543,0.23119961466435635,0.02436991108541406
F2a_Cov,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.5861605061605062,0.18040293040293043,0.44875323319442173,0.045923439405509955
F2a_Cov,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.6937062937062937,0.23255411255411246,0.3090045645868227,0.03804122029116094
F2a_Cov,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.5711111111111111,0.14045523104346636,0.36165237240890336,0.041131925302570704
F2b_CSP,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.5427220237224626,0.08942115748957769,0.11380740606554673,0.010248051589353019
F2b_CSP,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5894638694638694,0.07803529803529807,0.06695615815541944,0.006580307070820912
F2b_CSP,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.5118181818181818,0.10606060606060608,0.15545860412709578,0.013519330634361587
F2b_CSP,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.5561771561771562,0.09502497502497503,0.07707668442702609,0.010290485438559954
F2b_CSP,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.5111688311688312,0.08051295110118639,0.1557381775526463,0.010602083213669622
F2c_SPD,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.555191324981202,0.10189045874831715,0.3731478006837665,0.03899155670015984
F2c_SPD,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5603729603729604,0.04894438894438902,0.20883549761760567,0.025847931392066717
F2c_SPD,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.49473193473193466,0.0889743589743589,0.5039793202228309,0.04523189719348865
F2c_SPD,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.5906759906759906,0.12952380952380943,0.33289986958464546,0.03724177770649613
F2c_SPD,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.5603729603729604,0.1297170803053156,0.44687651530998407,0.04764462050858788
F3_Ring,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.618838414809923,0.16553754857703806,0.6473800577243564,0.053755677431094995
F3_Ring,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.6525474525474525,0.14111888111888116,0.35473265356400663,0.03477187047193883
F3_Ring,wearing,feature_bank_electrode_shift_validation_20260915,trial_2,0.40575757575757576,0.5366387860505508,0.13088121029297506,0.7074710058856029,0.055218120454332165
F3_Ring,wearing,feature_bank_electrode_shift_validation_20260915,trial_3,0.4611521811521812,0.6937062937062937,0.23255411255411246,0.7419592766886577,0.06446537943488248
F3_Ring,wearing,feature_bank_electrode_shift_validation_20260915,trial_4,0.43065588006764477,0.5854145854145855,0.1547587053469407,0.7853572947591587,0.060567339363226544
F4_Spectral,wearing,feature_bank_electrode_shift_validation_20260915,ALL,0.4533008662328849,0.46472892187177905,0.011428055638894152,0.09981232155178743,0.005687761933595492
F4_Spectral,wearing,feature_bank_electrode_shift_validation_20260915,trial_1,0.5114285714285713,0.5363436563436563,0.024915084915084984,-0.027599048485028588,0.0006401420620146814
