dataset,phase,subject,condition,family,feature_dimension,active_native_labels_json,rest_label_excluded,D_nuisance_active,D_gesture_active,J_active,macro_f1_active6,accuracy_active,log_loss_active_truth_7way_probability,active_trials,rest_trials_excluded
libemg_contraction_intensity,validation,7,Medium,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.851039171218872,5.666163921356201,1.4713337541606206,0.21097883597883596,0.2916666666666667,2.9562338417206817,24,4
libemg_contraction_intensity,validation,7,Hard,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.7548956871032715,5.801862716674805,1.5451461771488408,0.38425925925925924,0.375,2.3539316627442806,24,4
libemg_contraction_intensity,validation,8,ALL,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.436803340911865,8.082802599126643,1.821762647087095,0.2650673584862633,0.28174603174603174,2.463979514866842,252,42
libemg_contraction_intensity,validation,8,20P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,5.492098808288574,6.5481791496276855,1.1922908487418444,0.18055555555555555,0.20833333333333334,3.91910843646005,24,4
libemg_contraction_intensity,validation,8,30P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.273187637329102,7.971941947937012,1.8655726413954548,0.12222222222222223,0.125,2.8461016763993854,24,4
libemg_contraction_intensity,validation,8,40P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.240991592407227,7.426018238067627,1.7510098938152925,0.23597883597883595,0.25,2.3139977640429428,24,4
libemg_contraction_intensity,validation,8,50P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.079629898071289,7.3006181716918945,1.789529529373345,0.34458874458874456,0.375,2.0017193751930034,24,4
libemg_contraction_intensity,validation,8,60P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.8996574878692627,8.249262809753418,2.115381372646961,0.218013468013468,0.25,2.3851289439512517,24,4
libemg_contraction_intensity,validation,8,70P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.9508845806121826,7.97520112991333,2.0185862094902625,0.2402116402116402,0.2916666666666667,2.3089272915154093,24,4
libemg_contraction_intensity,validation,8,80P,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.24436092376709,8.326091766357422,1.9616832582586818,0.2025641025641026,0.2916666666666667,2.0047122020904236,24,4
libemg_contraction_intensity,validation,8,MVC,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,5.312872886657715,9.357928276062012,1.7613687501138149,0.16666666666666666,0.25,2.6333042095777586,12,2
libemg_contraction_intensity,validation,8,Light,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.713335037231445,7.782532215118408,1.6511731403513072,0.3257936507936508,0.3333333333333333,2.5081421200747833,24,4
libemg_contraction_intensity,validation,8,Medium,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,3.870908737182617,8.665204048156738,2.2385451676237973,0.3103535353535353,0.3333333333333333,2.2037588174797107,24,4
libemg_contraction_intensity,validation,8,Hard,F3_Ring,40,"[1, 2, 3, 4, 5, 6]",0,4.726902961730957,9.30785083770752,1.9691224704350903,0.29444444444444445,0.375,2.063536174106004,24,4
libemg_contraction_intensity,validation,7,ALL,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,4.22032356262207,7.987889723344282,1.8927197416570036,0.5042511603495817,0.5674603174603174,1.468286521381856,252,42
libemg_contraction_intensity,validation,7,20P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,4.741988182067871,7.588668346405029,1.6003136353106127,0.29081196581196583,0.4166666666666667,1.8252711034224518,24,4
libemg_contraction_intensity,validation,7,30P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.7771034240722656,7.870072364807129,2.0836263879991104,0.41165501165501167,0.5416666666666666,1.2734834171559657,24,4
libemg_contraction_intensity,validation,7,40P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.6360487937927246,8.654132843017578,2.3800926042448767,0.4101010101010101,0.5416666666666666,1.1557443400681808,24,4
libemg_contraction_intensity,validation,7,50P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.5218939781188965,8.461504936218262,2.402543912039465,0.48148148148148145,0.5833333333333334,1.2294935323877185,24,4
libemg_contraction_intensity,validation,7,60P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.6430366039276123,8.5471830368042,2.346169958148303,0.5619047619047618,0.6666666666666666,1.2085398504895195,24,4
libemg_contraction_intensity,validation,7,70P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.975839138031006,8.683759689331055,2.18413255356533,0.6951566951566951,0.75,1.0260264370331766,24,4
libemg_contraction_intensity,validation,7,80P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.834411144256592,8.356979370117188,2.1794687777331387,0.5703703703703703,0.6666666666666666,1.1217083960333907,24,4
libemg_contraction_intensity,validation,7,MVC,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,6.296797275543213,7.382315635681152,1.1723921404039572,0.47301587301587306,0.5833333333333334,1.5069879974440747,12,2
libemg_contraction_intensity,validation,7,Light,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,5.27614688873291,7.175570011138916,1.360001941251139,0.4444444444444444,0.5,2.54696622309045,24,4
libemg_contraction_intensity,validation,7,Medium,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.8482043743133545,7.555145740509033,1.9632911886757025,0.35000000000000003,0.4583333333333333,2.035469398369722,24,4
libemg_contraction_intensity,validation,7,Hard,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,3.872086763381958,7.591454982757568,1.9605591110078804,0.47936507936507927,0.5416666666666666,1.2408117777368748,24,4
libemg_contraction_intensity,validation,8,ALL,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,9.015666961669922,14.00260894948786,1.5531417707491404,0.6447949639371001,0.6626984126984127,1.6896954052621884,252,42
libemg_contraction_intensity,validation,8,20P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,10.190377235412598,7.830885410308838,0.7684588341851436,0.10833333333333334,0.16666666666666666,3.696300131378359,24,4
libemg_contraction_intensity,validation,8,30P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,7.883153438568115,9.470870971679688,1.2014063972449867,0.48253968253968244,0.5416666666666666,1.6613753305044237,24,4
libemg_contraction_intensity,validation,8,40P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,6.996407985687256,9.99785327911377,1.4289980371961946,0.537037037037037,0.5833333333333334,1.65387619542705,24,4
libemg_contraction_intensity,validation,8,50P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,6.747225284576416,10.514802932739258,1.5583891880147185,0.6444444444444444,0.7083333333333334,1.507965170341538,24,4
libemg_contraction_intensity,validation,8,60P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,6.7278923988342285,11.020421981811523,1.6380199516207006,0.6888888888888888,0.75,1.2954276567295389,24,4
libemg_contraction_intensity,validation,8,70P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,7.179921627044678,12.369891166687012,1.7228448733926207,0.7063492063492064,0.75,1.1500030401736312,24,4
libemg_contraction_intensity,validation,8,80P,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,8.013412475585938,14.1021146774292,1.7598139020320525,0.7354497354497355,0.7916666666666666,1.0881507769464758,24,4
libemg_contraction_intensity,validation,8,MVC,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,11.917951583862305,21.028345108032227,1.7644261230536928,0.7063492063492064,0.75,1.3591501502216705,12,2
libemg_contraction_intensity,validation,8,Light,F4_Spectral,72,"[1, 2, 3, 4, 5, 6]",0,8.104391098022461,10.743840217590332,1.3256813605749296,0.6489898989898989,0.6666666666666666,1.4337801224764242,24,4
